,abv,beer_link,beer_name,beer_style,beer_style_match,brewery,rDev,user_rating,Color,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Custom Flavor,Sour,Aroma,spicy,bitter,csv_name,style_name,match_name
0,8.30,https://www.beeradvocate.com/beer/profile/345/294076/,Mighty Things,American Double / Imperial IPA,americandoubleimperialipa,Victory Brewing Company - Downingtown,8.8,4.43,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
1,7.85,https://www.beeradvocate.com/beer/profile/220/74986/,Lagunitas Sucks (Brown Shugga Substitute Ale),American Double / Imperial IPA,americandoubleimperialipa,Lagunitas Brewing Company,5.1,4.1,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
2,9.10,https://www.beeradvocate.com/beer/profile/18539/97414/,Sixteen Point Imperial IPA,American Double / Imperial IPA,americandoubleimperialipa,Devils Backbone Brewing Company,8.6,4.16,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
3,11.50,https://www.beeradvocate.com/beer/profile/68/35754/,Double Dog Double IPA,American Double / Imperial IPA,americandoubleimperialipa,Flying Dog Brewery,6.4,4.15,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
4,8.20,https://www.beeradvocate.com/beer/profile/3818/57908/,2XIPA,American Double / Imperial IPA,americandoubleimperialipa,Southern Tier Brewing Company,3.7,4.17,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
5,8.70,https://www.beeradvocate.com/beer/profile/68/97457/,The Truth Imperial IPA (India Pale Ale),American Double / Imperial IPA,americandoubleimperialipa,Flying Dog Brewery,5.6,4.33,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
6,9.40,https://www.beeradvocate.com/beer/profile/29161/101537/,Bonnie & Clyde Double India Pale Ale,American Double / Imperial IPA,americandoubleimperialipa,Tall Tales Brewing Company,20.3,2.32,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
7,10.00,https://www.beeradvocate.com/beer/profile/21872/75121/,Felony IPA,American Double / Imperial IPA,americandoubleimperialipa,Prism Brewing Company,5.7,3.7,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
8,8.50,https://www.beeradvocate.com/beer/profile/192/90410/,Rampant Imperial IPA,American Double / Imperial IPA,americandoubleimperialipa,New Belgium Brewing,2.1,3.71,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
9,8.70,https://www.beeradvocate.com/beer/profile/345/99873/,DirtWolf,American Double / Imperial IPA,americandoubleimperialipa,Victory Brewing Company - Downingtown,0.2,4.29,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
10,9.50,https://www.beeradvocate.com/beer/profile/345/160104/,Sour Monkey,American Wild Ale,americanwildale,Victory Brewing Company - Downingtown,2.0,4.1,gold,3,0,0,0,2,0,0,3,0,0,0,americanwildale,American Wild Ale,americanwildale
11,6.10,https://www.beeradvocate.com/beer/profile/4/108002/,Allagash Saison Ale,Saison / Farmhouse Ale,saisonfarmhouseale,Allagash Brewing Company,6.5,3.6,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
12,7.00,https://www.beeradvocate.com/beer/profile/16096/59610/,Space Monkey,Saison / Farmhouse Ale,saisonfarmhouseale,Allentown Brew Works,11.4,3.81,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
13,4.40,https://www.beeradvocate.com/beer/profile/96/97326/,Séance,Saison / Farmhouse Ale,saisonfarmhouseale,Magic Hat Brewing Company,0.6,3.14,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
14,6.50,https://www.beeradvocate.com/beer/profile/450/1510/,Yards Saison,Saison / Farmhouse Ale,saisonfarmhouseale,Yards Brewing Co.,7.1,3.79,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
15,4.50,https://www.beeradvocate.com/beer/profile/345/90546/,Swing Session Saison,Saison / Farmhouse Ale,saisonfarmhouseale,Victory Brewing Company - Downingtown,19.5,4.23,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
